,title,link
0,eMD Medical News,https://news.google.com/articles/CBMiM2h0dHBzOi8vd3d3Lm1kb24uY28ua3IvbW9iaWxlL2FydGljbGUuaHRtbD9ubz0xOTYxONIBAA?hl=ko&gl=KR&ceid=KR%3Ako
1,"[SEN][단독]국일그래핀, 대면적그래핀 양산화 Roll to Roll 설비개발 추진...본 계약 앞둬 - 서울경제",https://news.google.com/articles/CBMiKWh0dHBzOi8vbS5zZWRhaWx5LmNvbS9OZXdzVklldy8xVk1XMjRQUTg10gEsaHR0cHM6Ly9tLnNlZGFpbHkuY29tL05ld3NWaWV3QW1wLzFWTVcyNFBRODU?hl=ko&gl=KR&ceid=KR%3Ako
2,“호기심에서 사용 가능한 기술로 진화한 ALE”,https://news.google.com/articles/CBMiNGh0dHA6Ly93d3cudGhlbGVjLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz02NDXSATdodHRwOi8vd3d3LnRoZWxlYy5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NjQ1?hl=ko&gl=KR&ceid=KR%3Ako
3,"고려대, SOFC 원자층 단위 표면 처리 기술 개발",https://news.google.com/articles/CBMiNmh0dHA6Ly9tLmdhc25ld3MuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz04NTU0NNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
4,"자유자재로 열↔전기 변환하는 열전소재, 최신 반도체 나노기술 접목으로 성능 향상",https://news.google.com/articles/CBMiNWh0dHA6Ly93d3cuc2VuZXdzLm5ldC9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89ODg40gEA?hl=ko&gl=KR&ceid=KR%3Ako
5,토종 식각장비사 에이피티씨 美마이크론 대상 영업력 확대,https://news.google.com/articles/CBMiNWh0dHA6Ly93d3cudGhlbGVjLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0yNjQ40gE4aHR0cDovL3d3dy50aGVsZWMua3IvbmV3cy9hcnRpY2xlVmlld0FtcC5odG1sP2lkeG5vPTI2NDg?hl=ko&gl=KR&ceid=KR%3Ako
6,"삼성전자, 세계 최초 '5세대 V낸드' 양산",https://news.google.com/articles/CAIiEFL-2r2nKRdBp8u6MeEpD78qGQgEKhAIACoHCAowx4HeCjCcitUBMMWNhgY?hl=ko&gl=KR&ceid=KR%3Ako
7,원익테라세미콘 합병한 원익IPS... 글로벌 톱10 도약 목표,https://news.google.com/articles/CBMiNGh0dHA6Ly93d3cudGhlbGVjLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz01MDHSATdodHRwOi8vd3d3LnRoZWxlYy5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NTAx?hl=ko&gl=KR&ceid=KR%3Ako
8,그래핀으로 세포크기 로봇 개발,https://news.google.com/articles/CBMinQFodHRwczovL3d3dy5zY2llbmNldGltZXMuY28ua3IvP25ld3M9JUVBJUI3JUI4JUVCJTlFJTk4JUVEJTk1JTgwJUVDJTlDJUJDJUVCJUExJTlDLSVFQyU4NCVCOCVFRCU4RiVBQyVFRCU4MSVBQyVFQSVCOCVCMC0lRUIlQTElOUMlRUIlQjQlODctJUVBJUIwJTlDJUVCJUIwJTlD0gEA?hl=ko&gl=KR&ceid=KR%3Ako
9,"아베니, 반도체 5나노 노드에서 구리 인터커넥트 사용 기술 개발",https://news.google.com/articles/CBMiN2h0dHA6Ly93d3cuZXBuYy5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89Nzc5NzbSAQA?hl=ko&gl=KR&ceid=KR%3Ako
10,"삼성전자, 반도체 비전으로 '혁신공정·생태계' 강조",https://news.google.com/articles/CBMiL2h0dHBzOi8vd3d3LnpkbmV0LmNvLmtyL3ZpZXcvP25vPTIwMTkwNjI2MTQyNjUw0gEA?hl=ko&gl=KR&ceid=KR%3Ako
11,"램리서치, 저불소 텅스텐 주입 가능.. ALD 공정으로 차세대 메모리 실현",https://news.google.com/articles/CBMiN2h0dHA6Ly93d3cuZXBuYy5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NjQzMzHSAQA?hl=ko&gl=KR&ceid=KR%3Ako
